store_ID,store_name,address,lat,lng
10267,BOOKOFF 長岡川崎店,新潟県長岡市豊1-608,37.45807264,138.8691507
10268,BOOKOFF 東久留米前沢店,東京都東久留米市中央町4-14-35,35.74747024,139.5202961
10271,BOOKOFF 富士本吉原店,静岡県富士市今泉1-17-41,35.16219438,138.6929842
10273,BOOKOFF 中野七瀬店,長野県中野市七瀬98-3,36.75426408,138.3521298
10275,BOOKOFF 川内店,鹿児島県薩摩川内市上川内町4225-1,31.83618345,130.2886198
10276,BOOKOFF 佐倉王子台店,千葉県佐倉市王子台2-28-8,35.72620104,140.185085
10279,BOOKOFF 四街道店,千葉県四街道市大日466-32,35.67693321,140.1620996
10280,BOOKOFF 長野若槻店,長野県長野市稲田1-18-4,36.67439529,138.2182218
10283,BOOKOFF 神戸伊川谷店,兵庫県神戸市西区伊川谷町有瀬1345,34.66394894,135.013907
10284,BOOKOFF 武蔵中原店,神奈川県川崎市中原区上小田中6-12-1,35.58086343,139.6454467
10287,BOOKOFF フォレオ広島東店,広島県広島市東区温品1-3-2,34.40815689,132.5034087
10289,BOOKOFF 浜松芳川店,静岡県浜松市中央区都盛町85-1,34.68925155,137.7557015
10293,BOOKOFF 熊本健軍店,熊本県熊本市東区健軍3-50-17,32.77880438,130.7603986
10294,BOOKOFF 松山駅前店,愛媛県松山市宮田町123-1,33.84325882,132.7527891
10295,BOOKOFF 那覇与儀店,沖縄県那覇市字与儀372-2,26.201607,127.6960058
10296,BOOKOFF PLUS 徳島田宮店,徳島県徳島市南田宮2丁目146-1,34.07712083,134.5748778
10298,BOOKOFF 郡山昭和店,福島県郡山市昭和2-2-6,37.38736467,140.3931059
10301,BOOKOFF 北九州力丸店,福岡県北九州市八幡西区力丸町12-10,33.87929183,130.72335
10304,BOOKOFF PLUS 恵那店,岐阜県恵那市大井町１８０−１,35.45224899,137.4110821
10307,BOOKOFF 三島徳倉店,静岡県三島市徳倉4-36-3,35.14318645,138.9108466
10309,BOOKOFF 船橋高根木戸店,千葉県船橋市高根台6-43-2,35.72837764,140.0363713
10314,BOOKOFF 敦賀木崎店,福井県敦賀市木崎20-12,35.64317796,136.0499481
